CMDLINE C:\Users\Sourour\AppData\Local\Programs\Python\Python311\python.exe Scraper(Motory)[SD]{Modified}.py
MEM 103.089844 1707396841.4162
MEM 103.136719 1707396841.5166
MEM 103.136719 1707396841.6170
MEM 103.136719 1707396841.7176
MEM 103.136719 1707396841.8179
MEM 103.136719 1707396841.9187
MEM 103.136719 1707396842.0190
MEM 103.136719 1707396842.1193
MEM 103.136719 1707396842.2198
MEM 103.136719 1707396842.3203
MEM 103.136719 1707396842.4206
MEM 103.136719 1707396842.5209
MEM 103.136719 1707396842.6212
MEM 103.136719 1707396842.7215
MEM 103.136719 1707396842.8221
MEM 103.136719 1707396842.9224
MEM 103.136719 1707396843.0230
MEM 103.136719 1707396843.1234
MEM 103.136719 1707396843.2240
MEM 103.136719 1707396843.3247
MEM 103.136719 1707396843.4252
MEM 103.136719 1707396843.5256
MEM 103.136719 1707396843.6259
MEM 103.136719 1707396843.7263
MEM 103.136719 1707396843.8270
MEM 103.136719 1707396843.9276
MEM 103.136719 1707396844.0279
MEM 103.136719 1707396844.1284
MEM 103.136719 1707396844.2286
MEM 103.136719 1707396844.3292
MEM 103.136719 1707396844.4298
MEM 103.136719 1707396844.5306
MEM 103.136719 1707396844.6308
MEM 103.136719 1707396844.7315
MEM 103.136719 1707396844.8319
MEM 103.136719 1707396844.9325
MEM 103.136719 1707396845.0330
MEM 103.136719 1707396845.1334
MEM 103.136719 1707396845.2340
MEM 103.136719 1707396845.3344
MEM 103.136719 1707396845.4347
MEM 103.136719 1707396845.5350
MEM 103.136719 1707396845.6355
MEM 103.136719 1707396845.7360
MEM 103.136719 1707396845.8367
MEM 103.136719 1707396845.9370
MEM 103.136719 1707396846.0375
MEM 103.136719 1707396846.1381
MEM 103.136719 1707396846.2386
MEM 103.136719 1707396846.3390
MEM 103.136719 1707396846.4395
MEM 103.136719 1707396846.5398
MEM 103.136719 1707396846.6405
MEM 103.136719 1707396846.7409
MEM 103.136719 1707396846.8414
MEM 103.136719 1707396846.9418
MEM 103.136719 1707396847.0421
MEM 103.136719 1707396847.1427
MEM 103.136719 1707396847.2431
MEM 103.136719 1707396847.3436
MEM 103.136719 1707396847.4437
MEM 103.136719 1707396847.5442
MEM 103.136719 1707396847.6444
MEM 103.136719 1707396847.7447
MEM 103.136719 1707396847.8451
MEM 103.136719 1707396847.9455
MEM 103.136719 1707396848.0458
MEM 103.136719 1707396848.1460
MEM 103.136719 1707396848.2464
MEM 103.136719 1707396848.3466
MEM 103.136719 1707396848.4472
MEM 103.136719 1707396848.5478
MEM 103.136719 1707396848.6481
MEM 103.136719 1707396848.7486
MEM 103.136719 1707396848.8489
MEM 103.136719 1707396848.9494
MEM 103.136719 1707396849.0498
MEM 103.136719 1707396849.1502
MEM 103.136719 1707396849.2504
MEM 103.136719 1707396849.3507
MEM 103.136719 1707396849.4512
MEM 103.136719 1707396849.5518
MEM 103.136719 1707396849.6525
MEM 103.140625 1707396849.7530
MEM 103.175781 1707396849.8532
MEM 103.175781 1707396849.9535
MEM 103.257812 1707396850.0537
MEM 103.882812 1707396850.1542
MEM 103.894531 1707396850.2546
MEM 103.894531 1707396850.3549
MEM 103.894531 1707396850.4554
MEM 104.429688 1707396850.5559
MEM 105.957031 1707396850.6563
MEM 105.957031 1707396850.7568
MEM 105.976562 1707396850.8570
MEM 105.996094 1707396850.9573
MEM 106.304688 1707396851.0576
MEM 106.691406 1707396851.1582
MEM 107.000000 1707396851.2586
MEM 107.343750 1707396851.3589
MEM 107.648438 1707396851.4593
MEM 107.652344 1707396851.5597
